"info","mean_Fix_ATE","var_Fix_ATE","bias_Fix","mean_noFix_ATE","var_noFix_ATE","bias_noFix","mean_CorXi_num_XcXp","mean_Ball_TrueData_ATE","var_Ball_TrueData_ATE","bias_Ball_TrueData","mean_Ball_errorData_ATE","var_Ball_errorData_ATE","bias_Ball_errorData","mean_Ball_num_XcXp","mean_real_ATE","var_real_ATE","mean_num_error_D","run_time"
"300 /600 /cont /FALSE /normal","1.787903","0.040605","0.000859","1.299964","0.087112","0.488798","1.441113","1.781696","0.042162","0.007066","1.287803","0.086768","0.500959","1.75803","1.788762","0.040089","34.289079",NA
"500 /1200 /cont /FALSE /normal","1.750673","0.054702","0.000937","1.360317","0.065794","0.391293","1.378","1.749997","0.053745","0.001613","1.359898","0.06679","0.391712","1.9","1.75161","0.054048","54.678",NA
"300 /600 /binary /FALSE /normal","0.17919","0.00148","0.000478","0.139525","0.001899","0.039186","0.128","0.177451","0.001571","0.00126","0.139931","0.001875","0.03878","1.124","0.178712","0.001454","32.256",NA
"500 /1200 /binary /FALSE /normal","0.183346","0.000804","1e-06","0.144405","0.001008","0.038942","0.526","0.183069","0.000807","0.000277","0.144153","0.000997","0.039194","1.524","0.183346","0.000804","52.504",NA
"300 /600 /pois /FALSE /normal","1.592671","0.07734","0.00362","1.277101","0.073417","0.319191","1.02","1.59391","0.07525","0.002382","1.269701","0.07657","0.32659","1.58","1.596291","0.077091","31.624",NA
"500 /1200 /pois /FALSE /normal","1.456681","0.091488","0.001214","1.103737","0.099143","0.354158","1.142","1.458705","0.092055","0.00081","1.105188","0.098541","0.352707","1.788","1.457895","0.091945","55.166",NA
